"scenario","scenarioname","R2020","R2100","A2020marsh","A2020mangrove","year","k","rSLR","A2100marsh","A2100mangrove","Amarsh","Amangrove","Atotal","SL","marshgain","mangrovegain","marshelev","mangroveelev","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
3,"Area stable/low slr",3.5,4,52880,147349,2045,0.00166914240780653,3.64914001932731,51312,142928,52671.5120713698,146761.165094085,199432.677165455,92.9258759591005,3.64914001932731,3.64914001932731,92.9258759591005,92.9258759591005,8.8591289791535,24.4118585834314,33.2709875625849,-0.188681575410326,-0.526112240793579,-0.714793816203905,8.67044740374318,23.8857463426379,32.556193746381
3,"Area stable/low slr",3.5,4,52880,147349,2046,0.00166914240780653,3.65523603983345,51312,142928,52647.8619934863,146694.483337502,199342.345330988,96.581111998934,3.65523603983345,3.65523603983345,96.581111998934,96.581111998934,9.20346819081215,25.3605702214726,34.5640384122848,-0.21008489589489,-0.585792412935792,-0.795877308830683,8.99338329491726,24.7747778085368,33.7681611034541
3,"Area stable/low slr",3.5,4,52880,147349,2047,0.00166914240780653,3.66134224396254,51312,142928,52622.0381861782,146621.672717534,199243.710903712,100.242454242897,3.66134224396254,3.66134224396254,100.242454242897,100.242454242897,9.54768168163312,26.3089122099438,35.856593891577,-0.233455441508742,-0.650957917806805,-0.884413359315546,9.31422624012438,25.657954292137,34.9721805322614
3,"Area stable/low slr",3.5,4,52880,147349,2048,0.00166914240780653,3.66745864872667,51312,142928,52593.9567786716,146542.496759252,199136.453537924,103.909912891623,3.66745864872667,3.66745864872667,103.909912891623,103.909912891623,9.89171057617059,27.256720350983,37.1484309271536,-0.258869115302169,-0.721820400469372,-0.980689515771541,9.63284146086843,26.5348999505136,36.1677414113821
3,"Area stable/low slr",3.5,4,52880,147349,2049,0.00166914240780653,3.67358527116639,51312,142928,52563.5568674957,146456.783744387,199020.340611883,107.58349816279,3.67358527116639,3.67358527116639,107.58349816279,107.58349816279,10.2354980958679,28.2038362935572,38.4393343894251,-0.286381034916369,-0.798533548773758,-1.08491458369013,9.94911706095151,27.4053027447835,37.354419805735
3,"Area stable/low slr",3.5,4,52880,147349,2050,0.00166914240780653,3.67972212835068,51312,142928,52530.8061823219,146364.442686253,198895.248868575,111.26322029114,3.67972212835068,3.67972212835068,111.26322029114,111.26322029114,10.5789914552061,29.1501128206091,39.7291042758153,-0.316020404998664,-0.881178795803283,-1.19719920080195,10.2629710502075,28.2689340248059,38.5319050750133
3,"Area stable/low slr",3.5,4,52880,147349,2051,0.00166914240780653,3.68586923737707,51312,142928,52495.7066994084,146265.479156942,198761.18585635,114.949089528517,3.68586923737707,3.68586923737707,114.949089528517,114.949089528517,10.9221439775481,30.0954197487916,41.0175637263397,-0.347785437035364,-0.969751154537101,-1.31753659157246,10.5743585405127,29.1256685942545,39.7000271347672
3,"Area stable/low slr",3.5,4,52880,147349,2052,0.00166914240780653,3.69202661537161,51312,142928,52458.2998512918,146160.009976123,198618.309827415,118.641116143889,3.69202661537161,3.69202661537161,118.641116143889,118.641116143889,11.2649173541162,31.0396502273129,42.3045675814291,-0.381638634580876,-1.06414607136969,-1.44578470595056,10.8832787195353,29.9755041559432,40.8587828754785
3,"Area stable/low slr",3.5,4,52880,147349,2053,0.00166914240780653,3.698194279489,51312,142928,52418.6709236484,146048.275608067,198466.946531716,122.339310423378,3.698194279489,3.698194279489,122.339310423378,122.339310423378,11.6072839379375,31.9827271342818,43.5900110722193,-0.41750281409817,-1.16414833077965,-1.58165114487782,11.1897811238393,30.8185788035022,42.0083599273415
3,"Area stable/low slr",3.5,4,52880,147349,2054,0.00166914240780653,3.70437224691258,51312,142928,52376.952200307,145930.649029054,198307.601229361,126.043682670291,3.70437224691258,3.70437224691258,126.043682670291,126.043682670291,11.9492289356942,32.924609188377,44.8738381240711,-0.455258258722151,-1.2694241189963,-1.72468237771845,11.493970676972,31.6551850693807,43.1491557463527
