"SL","Amarsh","Amangrove","Atotal","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
30,5000,13932.39409985,18932.39409985,0.267,0.681294071482665,0.948294071482665,-42.6132,-108.734533808622,-151.347733808622,-42.3462,-108.05323973714,-150.39943973714
35,5000,13932.39409985,18932.39409985,0.3115,0.794843083396442,1.10634308339644,-42.6132,-108.734533808622,-151.347733808622,-42.3017,-107.939690725226,-150.241390725226
40,5000,13932.39409985,18932.39409985,0.356,0.90839209531022,1.26439209531022,-42.6132,-108.734533808622,-151.347733808622,-42.2572,-107.826141713312,-150.083341713312
45,5000,13932.39409985,18932.39409985,0.4005,1.021941107224,1.422441107224,-42.6132,-108.734533808622,-151.347733808622,-42.2127,-107.712592701398,-149.925292701398
50,5000,13932.39409985,18932.39409985,0.445,1.13549011913778,1.58049011913778,-42.6132,-108.734533808622,-151.347733808622,-42.1682,-107.599043689484,-149.767243689484
55,5000,13932.39409985,18932.39409985,0.4895,1.24903913105155,1.73853913105155,-42.6132,-108.734533808622,-151.347733808622,-42.1237,-107.485494677571,-149.609194677571
60,5000,13932.39409985,18932.39409985,0.534,1.36258814296533,1.89658814296533,-42.6132,-108.734533808622,-151.347733808622,-42.0792,-107.371945665657,-149.451145665657
65,5000,13932.39409985,18932.39409985,0.5785,1.47613715487911,2.05463715487911,-42.6132,-108.734533808622,-151.347733808622,-42.0347,-107.258396653743,-149.293096653743
70,5000,13932.39409985,18932.39409985,0.623,1.58968616679288,2.21268616679288,-42.6132,-108.734533808622,-151.347733808622,-41.9902,-107.144847641829,-149.135047641829
75,5000,13932.39409985,18932.39409985,0.6675,1.70323517870666,2.37073517870666,-42.6132,-108.734533808622,-151.347733808622,-41.9457,-107.031298629916,-148.976998629916
80,5000,13932.39409985,18932.39409985,0.712,1.81678419062044,2.52878419062044,-42.6132,-108.734533808622,-151.347733808622,-41.9012,-106.917749618002,-148.818949618002
85,5000,13932.39409985,18932.39409985,0.7565,1.93033320253422,2.68683320253422,-42.6132,-108.734533808622,-151.347733808622,-41.8567,-106.804200606088,-148.660900606088
90,5000,13932.39409985,18932.39409985,0.801,2.043882214448,2.844882214448,-42.6132,-108.734533808622,-151.347733808622,-41.8122,-106.690651594174,-148.502851594174
