"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"193","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0,0.15,2.36,0.18,0.92
"194","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.15,0.3,1.88,0.15,0.9
"195","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.3,0.45,1.99,0.15,0.85
"196","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,0.45,1.1,1.54,0.12,0.87
"197","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,1.1,1.85,1.67,0.11,0.9
"198","Trettin et al. 2020","Ruffiji",33,"Deltaic mangrove",2015,-7.790904,39.374205,1.85,2,1.46,0.09,0.9
"199","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0,0.15,2.76,0.16,0.81
"200","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.15,0.3,2.77,0.12,1.03
"201","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.3,0.45,NA,0.13,0.86
"202","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,0.45,1.1,3,0.11,0.94
"203","Trettin et al. 2020","Ruffiji",34,"Deltaic mangrove",2015,-7.820636,39.268396,1.1,1.85,2.39,0.08,1
