study_id,DOI,site_id,impact_class,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,U_depth_m_decompressed,L_depth_m_decompressed,OC_perc,N_perc,BD_reported_g_cm3,carbon_burial_rate,carbon_burial_rate_uncertainty,nitrogen_burial_rate,nitrogen_burial_rate_uncertainty
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.35,0.36,0.6233745,0.6414154999999999,NA,NA,0.7388035391601925,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.36,0.37,0.6414154999999999,0.6594565,NA,NA,0.42943680274431273,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.37,0.38,0.6594565,0.6774974999999999,NA,NA,0.5582844049560657,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.38,0.39,0.6774974999999999,0.6955385,NA,NA,0.5533159884183374,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.39,0.4,0.6955385,0.7135795,5.655591536092107,0.2030093765830565,0.5960443706428005,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.4,0.41,0.7135795,0.7316204999999999,NA,NA,0.6013440149497107,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.41,0.42,0.7316204999999999,0.7496615,NA,NA,0.6732204408621795,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.42,0.43,0.7496615,0.7677025000000001,NA,NA,0.6520218636345388,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.43,0.44,0.7677025000000001,0.7857434999999999,NA,NA,0.6715643020162699,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.44,0.45,0.7857434999999999,0.8037845,4.621278995,0.16173221900219845,0.6606337856332679,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.45,0.46,0.8037845,0.8218254999999999,NA,NA,0.9733127997409664,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.46,0.47,0.8218254999999999,0.8398665,NA,NA,0.8706321912945824,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.47,0.48,0.8398665,0.8579075,NA,NA,0.7719263160783809,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.48,0.49,0.8579075,0.8759484999999999,NA,NA,0.854733258,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.49,0.5,0.8759484999999999,0.8939895,2.691625392623642,0.093418514,0.8911683129838592,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.5,0.51,0.8939895,0.9120305000000001,NA,NA,0.9567514112818721,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.51,0.52,0.9120305000000001,0.9300714999999999,NA,NA,0.9676819276648744,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.52,0.53,0.9300714999999999,0.9481125,NA,NA,0.7268793394696447,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.53,0.54,0.9481125,0.9661534999999999,NA,NA,0.9769563052019672,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.54,0.55,0.9661534999999999,0.9841945,11.54221902,0.2617548850160808,0.597369282,75,6,3.4,0.3
